image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\baseballdiamond\baseballdiamond00.tif,baseballdiamond
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\baseballdiamond\baseballdiamond01.tif,baseballdiamond
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\baseballdiamond\baseballdiamond02.tif,baseballdiamond
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\baseballdiamond\baseballdiamond03.tif,baseballdiamond
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\baseballdiamond\baseballdiamond04.tif,baseballdiamond
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\baseballdiamond\baseballdiamond05.tif,baseballdiamond
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\baseballdiamond\baseballdiamond06.tif,baseballdiamond
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\baseballdiamond\baseballdiamond07.tif,baseballdiamond
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\baseballdiamond\baseballdiamond08.tif,baseballdiamond
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\baseballdiamond\baseballdiamond09.tif,baseballdiamond
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\baseballdiamond\baseballdiamond10.tif,baseballdiamond
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\baseballdiamond\baseballdiamond11.tif,baseballdiamond
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\baseballdiamond\baseballdiamond12.tif,baseballdiamond
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\baseballdiamond\baseballdiamond13.tif,baseballdiamond
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\baseballdiamond\baseballdiamond14.tif,baseballdiamond
