image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral00.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral01.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral02.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral03.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral04.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral05.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral06.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral07.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral08.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral09.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral10.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral11.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral12.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral13.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral14.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral15.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral16.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral17.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral18.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral19.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral20.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral21.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral22.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral23.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral24.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral25.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral26.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral27.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral28.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral29.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral30.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral31.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral32.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral33.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral34.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral35.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral36.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral37.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral38.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral39.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral40.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral41.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral42.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral43.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral44.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral45.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral46.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral47.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral48.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral49.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral50.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral51.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral52.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral53.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral54.tif,chaparral
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\chaparral\chaparral55.tif,chaparral
