image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse00.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse01.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse02.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse03.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse04.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse05.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse06.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse07.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse08.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse09.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse10.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse11.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse12.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse13.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse14.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse15.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse16.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse17.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse18.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse19.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse20.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse21.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse22.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse23.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse24.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse25.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse26.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse27.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse28.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse29.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse30.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse31.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse32.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse33.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse34.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse35.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse36.tif,golfcourse
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\golfcourse\golfcourse37.tif,golfcourse
