image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential00.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential01.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential02.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential03.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential04.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential05.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential06.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential07.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential08.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential09.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential10.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential11.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential12.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential13.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential14.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential15.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential16.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential17.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential18.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential19.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential20.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential21.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential22.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential23.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential24.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential25.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential26.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential27.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential28.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential29.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential30.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential31.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential32.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential33.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential34.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential35.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential36.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential37.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential38.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential39.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential40.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential41.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential42.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential43.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential44.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential45.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential46.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential47.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential48.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential49.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential50.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential51.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential52.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential53.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential54.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential55.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential56.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential57.tif,mediumresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mediumresidential\mediumresidential58.tif,mediumresidential
