image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark00.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark01.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark02.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark03.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark04.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark05.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark06.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark07.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark08.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark09.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark10.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark11.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark12.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark13.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark14.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark15.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark16.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark17.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark18.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark19.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark20.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark21.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark22.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark23.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark24.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark25.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark26.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark27.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark28.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark29.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark30.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark31.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark32.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark33.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark34.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark35.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark36.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark37.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark38.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark39.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark40.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark41.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark42.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark43.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark44.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark45.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark46.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark47.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark48.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark49.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark50.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark51.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark52.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark53.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark54.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark55.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark56.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark57.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark58.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark59.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark60.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark61.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark62.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark63.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark64.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark65.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark66.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark67.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark68.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark69.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark70.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark71.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark72.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark73.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark74.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark75.tif,mobilehomepark
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\mobilehomepark\mobilehomepark76.tif,mobilehomepark
