image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\parkinglot\parkinglot00.tif,parkinglot
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\parkinglot\parkinglot01.tif,parkinglot
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\parkinglot\parkinglot02.tif,parkinglot
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\parkinglot\parkinglot03.tif,parkinglot
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\parkinglot\parkinglot04.tif,parkinglot
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\parkinglot\parkinglot05.tif,parkinglot
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\parkinglot\parkinglot06.tif,parkinglot
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\parkinglot\parkinglot07.tif,parkinglot
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\parkinglot\parkinglot08.tif,parkinglot
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\parkinglot\parkinglot09.tif,parkinglot
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\parkinglot\parkinglot10.tif,parkinglot
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\parkinglot\parkinglot11.tif,parkinglot
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\parkinglot\parkinglot12.tif,parkinglot
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\parkinglot\parkinglot13.tif,parkinglot
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\parkinglot\parkinglot14.tif,parkinglot
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\parkinglot\parkinglot15.tif,parkinglot
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\parkinglot\parkinglot16.tif,parkinglot
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\parkinglot\parkinglot17.tif,parkinglot
