image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway00.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway01.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway02.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway03.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway04.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway05.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway06.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway07.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway08.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway09.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway10.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway11.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway12.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway13.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway14.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway15.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway16.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway17.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway18.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway19.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway20.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway21.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway22.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway23.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway24.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway25.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway26.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway27.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway28.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway29.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway30.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway31.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway32.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway33.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway34.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway35.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway36.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway37.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway38.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway39.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway40.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway41.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway42.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway43.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway44.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway45.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway46.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway47.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway48.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway49.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway50.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway51.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway52.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway53.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway54.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway55.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway56.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway57.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway58.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway59.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway60.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway61.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway62.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway63.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway64.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway65.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway66.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway67.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway68.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway69.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway70.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway71.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway72.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway73.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway74.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway75.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway76.tif,runway
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\runway\runway77.tif,runway
