image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential00.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential01.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential02.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential03.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential04.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential05.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential06.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential07.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential08.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential09.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential10.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential11.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential12.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential13.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential14.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential15.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential16.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential17.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential18.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential19.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential20.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential21.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential22.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential23.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential24.tif,sparseresidential
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\sparseresidential\sparseresidential25.tif,sparseresidential
