image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks00.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks01.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks02.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks03.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks04.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks05.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks06.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks07.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks08.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks09.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks10.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks11.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks12.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks13.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks14.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks15.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks16.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks17.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks18.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks19.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks20.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks21.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks22.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks23.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks24.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks25.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks26.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks27.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks28.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks29.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks30.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks31.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks32.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks33.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks34.tif,storagetanks
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\storagetanks\storagetanks35.tif,storagetanks
