image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt00.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt01.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt02.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt03.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt04.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt05.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt06.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt07.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt08.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt09.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt10.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt11.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt12.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt13.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt14.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt15.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt16.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt17.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt18.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt19.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt20.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt21.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt22.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt23.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt24.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt25.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt26.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt27.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt28.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt29.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt30.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt31.tif,tenniscourt
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\Images\tenniscourt\tenniscourt32.tif,tenniscourt
