image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Carolis Disease\Carolis_Disease001.jpg,Carolis Disease
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Carolis Disease\Carolis_Disease002.jpg,Carolis Disease
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Carolis Disease\Carolis_Disease003.jpg,Carolis Disease
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Carolis Disease\Carolis_Disease004.jpg,Carolis Disease
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Carolis Disease\Carolis_Disease005.jpg,Carolis Disease
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Carolis Disease\Carolis_Disease006.jpg,Carolis Disease
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Carolis Disease\Carolis_Disease007.jpg,Carolis Disease
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Carolis Disease\Carolis_Disease008.jpg,Carolis Disease
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Carolis Disease\Carolis_Disease009.jpg,Carolis Disease
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Carolis Disease\Carolis_Disease010.jpg,Carolis Disease
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Carolis Disease\Carolis_Disease011.jpg,Carolis Disease
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Carolis Disease\Carolis_Disease012.jpg,Carolis Disease
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Carolis Disease\Carolis_Disease013.jpg,Carolis Disease
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Carolis Disease\Carolis_Disease014.jpg,Carolis Disease
