image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis001.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis002.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis003.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis004.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis005.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis006.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis007.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis008.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis009.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis010.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis011.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis012.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis013.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis014.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis015.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis016.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis017.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis018.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis019.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis020.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis021.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis022.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis023.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis024.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis025.jpg,Congenital Toxoplasmosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Toxoplasmosis\Congenital_Toxoplasmosis026.jpg,Congenital Toxoplasmosis
