image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst001.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst002.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst003.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst004.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst005.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst006.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst007.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst008.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst009.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst010.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst011.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst012.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst013.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst014.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst015.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst016.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst017.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst018.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst019.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst020.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst021.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst022.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst023.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst024.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst025.jpg,Congenital Vaginal Cyst
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Congenital Vaginal Cyst\Congenital_Vaginal_Cyst026.jpg,Congenital Vaginal Cyst
