image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis001.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis002.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis003.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis004.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis005.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis006.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis007.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis008.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis009.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis010.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis011.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis012.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis013.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis014.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis015.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis016.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis017.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis018.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis019.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis020.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis021.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis022.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis023.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis024.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis025.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis026.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis027.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis028.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis029.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis030.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis031.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis032.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis033.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis034.jpg,Dermatomyositis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Dermatomyositis\Dermatomyositis035.jpg,Dermatomyositis
