image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Fukuyama Muscular Dystrophy\Fukuyama_Muscular_Dystrophy001.jpg,Fukuyama Muscular Dystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Fukuyama Muscular Dystrophy\Fukuyama_Muscular_Dystrophy002.jpg,Fukuyama Muscular Dystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Fukuyama Muscular Dystrophy\Fukuyama_Muscular_Dystrophy003.jpg,Fukuyama Muscular Dystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Fukuyama Muscular Dystrophy\Fukuyama_Muscular_Dystrophy004.jpg,Fukuyama Muscular Dystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Fukuyama Muscular Dystrophy\Fukuyama_Muscular_Dystrophy005.jpg,Fukuyama Muscular Dystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Fukuyama Muscular Dystrophy\Fukuyama_Muscular_Dystrophy006.jpg,Fukuyama Muscular Dystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Fukuyama Muscular Dystrophy\Fukuyama_Muscular_Dystrophy007.jpg,Fukuyama Muscular Dystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Fukuyama Muscular Dystrophy\Fukuyama_Muscular_Dystrophy008.jpg,Fukuyama Muscular Dystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Fukuyama Muscular Dystrophy\Fukuyama_Muscular_Dystrophy009.jpg,Fukuyama Muscular Dystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Fukuyama Muscular Dystrophy\Fukuyama_Muscular_Dystrophy010.jpg,Fukuyama Muscular Dystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Fukuyama Muscular Dystrophy\Fukuyama_Muscular_Dystrophy011.jpg,Fukuyama Muscular Dystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Fukuyama Muscular Dystrophy\Fukuyama_Muscular_Dystrophy012.jpg,Fukuyama Muscular Dystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Fukuyama Muscular Dystrophy\Fukuyama_Muscular_Dystrophy013.jpg,Fukuyama Muscular Dystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Fukuyama Muscular Dystrophy\Fukuyama_Muscular_Dystrophy014.jpg,Fukuyama Muscular Dystrophy
