image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Gamekeepers Thumb\Gamekeepers_Thumb001.jpg,Gamekeepers Thumb
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Gamekeepers Thumb\Gamekeepers_Thumb002.jpg,Gamekeepers Thumb
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Gamekeepers Thumb\Gamekeepers_Thumb003.jpg,Gamekeepers Thumb
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Gamekeepers Thumb\Gamekeepers_Thumb004.jpg,Gamekeepers Thumb
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Gamekeepers Thumb\Gamekeepers_Thumb005.jpg,Gamekeepers Thumb
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Gamekeepers Thumb\Gamekeepers_Thumb006.jpg,Gamekeepers Thumb
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Gamekeepers Thumb\Gamekeepers_Thumb007.jpg,Gamekeepers Thumb
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Gamekeepers Thumb\Gamekeepers_Thumb008.jpg,Gamekeepers Thumb
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Gamekeepers Thumb\Gamekeepers_Thumb009.jpg,Gamekeepers Thumb
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Gamekeepers Thumb\Gamekeepers_Thumb010.jpg,Gamekeepers Thumb
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Gamekeepers Thumb\Gamekeepers_Thumb011.jpg,Gamekeepers Thumb
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Gamekeepers Thumb\Gamekeepers_Thumb012.jpg,Gamekeepers Thumb
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Gamekeepers Thumb\Gamekeepers_Thumb013.jpg,Gamekeepers Thumb
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Gamekeepers Thumb\Gamekeepers_Thumb014.jpg,Gamekeepers Thumb
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Gamekeepers Thumb\Gamekeepers_Thumb015.jpg,Gamekeepers Thumb
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Gamekeepers Thumb\Gamekeepers_Thumb016.jpg,Gamekeepers Thumb
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Gamekeepers Thumb\Gamekeepers_Thumb017.jpg,Gamekeepers Thumb
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Gamekeepers Thumb\Gamekeepers_Thumb018.jpg,Gamekeepers Thumb
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Gamekeepers Thumb\Gamekeepers_Thumb019.jpg,Gamekeepers Thumb
