image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease001.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease002.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease003.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease004.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease005.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease006.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease007.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease008.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease009.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease010.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease011.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease012.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease013.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease014.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease015.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease016.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease017.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease018.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease019.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease020.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease021.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease022.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease023.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease024.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease025.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease026.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease027.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease028.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease029.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease030.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease031.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease032.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease033.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)\Hallervorden-Spatz_Disease034.jpg,Hallervorden-Spatz Disease (now called Pantothenate Kinase-Associated Neurodegeneration)
