image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Inferior Vena Cava (IVC) Leiomyosarcoma\Inferior_Vena_Cava(IVC)_Leiomyosarcoma001.jpg,Inferior Vena Cava (IVC) Leiomyosarcoma
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Inferior Vena Cava (IVC) Leiomyosarcoma\Inferior_Vena_Cava(IVC)_Leiomyosarcoma002.jpg,Inferior Vena Cava (IVC) Leiomyosarcoma
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Inferior Vena Cava (IVC) Leiomyosarcoma\Inferior_Vena_Cava(IVC)_Leiomyosarcoma003.jpg,Inferior Vena Cava (IVC) Leiomyosarcoma
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Inferior Vena Cava (IVC) Leiomyosarcoma\Inferior_Vena_Cava(IVC)_Leiomyosarcoma004.jpg,Inferior Vena Cava (IVC) Leiomyosarcoma
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Inferior Vena Cava (IVC) Leiomyosarcoma\Inferior_Vena_Cava(IVC)_Leiomyosarcoma005.jpg,Inferior Vena Cava (IVC) Leiomyosarcoma
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Inferior Vena Cava (IVC) Leiomyosarcoma\Inferior_Vena_Cava(IVC)_Leiomyosarcoma006.jpg,Inferior Vena Cava (IVC) Leiomyosarcoma
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Inferior Vena Cava (IVC) Leiomyosarcoma\Inferior_Vena_Cava(IVC)_Leiomyosarcoma007.jpg,Inferior Vena Cava (IVC) Leiomyosarcoma
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Inferior Vena Cava (IVC) Leiomyosarcoma\Inferior_Vena_Cava(IVC)_Leiomyosarcoma008.jpg,Inferior Vena Cava (IVC) Leiomyosarcoma
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Inferior Vena Cava (IVC) Leiomyosarcoma\Inferior_Vena_Cava(IVC)_Leiomyosarcoma009.jpg,Inferior Vena Cava (IVC) Leiomyosarcoma
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Inferior Vena Cava (IVC) Leiomyosarcoma\Inferior_Vena_Cava(IVC)_Leiomyosarcoma010.jpg,Inferior Vena Cava (IVC) Leiomyosarcoma
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Inferior Vena Cava (IVC) Leiomyosarcoma\Inferior_Vena_Cava(IVC)_Leiomyosarcoma011.jpg,Inferior Vena Cava (IVC) Leiomyosarcoma
