image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Leighs Disease in Spinal Cord and Inferior Colliculi\Leighs_Disease_in_Spinal_Cord_and_Inferior_Colliculi001.jpg,Leighs Disease in Spinal Cord and Inferior Colliculi
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Leighs Disease in Spinal Cord and Inferior Colliculi\Leighs_Disease_in_Spinal_Cord_and_Inferior_Colliculi002.jpg,Leighs Disease in Spinal Cord and Inferior Colliculi
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Leighs Disease in Spinal Cord and Inferior Colliculi\Leighs_Disease_in_Spinal_Cord_and_Inferior_Colliculi003.jpg,Leighs Disease in Spinal Cord and Inferior Colliculi
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Leighs Disease in Spinal Cord and Inferior Colliculi\Leighs_Disease_in_Spinal_Cord_and_Inferior_Colliculi004.jpg,Leighs Disease in Spinal Cord and Inferior Colliculi
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Leighs Disease in Spinal Cord and Inferior Colliculi\Leighs_Disease_in_Spinal_Cord_and_Inferior_Colliculi005.jpg,Leighs Disease in Spinal Cord and Inferior Colliculi
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Leighs Disease in Spinal Cord and Inferior Colliculi\Leighs_Disease_in_Spinal_Cord_and_Inferior_Colliculi006.jpg,Leighs Disease in Spinal Cord and Inferior Colliculi
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Leighs Disease in Spinal Cord and Inferior Colliculi\Leighs_Disease_in_Spinal_Cord_and_Inferior_Colliculi007.jpg,Leighs Disease in Spinal Cord and Inferior Colliculi
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Leighs Disease in Spinal Cord and Inferior Colliculi\Leighs_Disease_in_Spinal_Cord_and_Inferior_Colliculi008.jpg,Leighs Disease in Spinal Cord and Inferior Colliculi
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Leighs Disease in Spinal Cord and Inferior Colliculi\Leighs_Disease_in_Spinal_Cord_and_Inferior_Colliculi009.jpg,Leighs Disease in Spinal Cord and Inferior Colliculi
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Leighs Disease in Spinal Cord and Inferior Colliculi\Leighs_Disease_in_Spinal_Cord_and_Inferior_Colliculi010.jpg,Leighs Disease in Spinal Cord and Inferior Colliculi
