image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum001.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum002.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum003.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum004.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum005.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum006.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum007.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum008.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum009.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum010.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum011.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum012.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum013.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum014.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum015.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum016.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum017.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum018.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum019.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum020.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum021.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum022.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum023.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum024.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum025.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum026.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum027.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum028.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum029.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum030.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum031.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum032.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Low Medial Insertion of Common Bile Duct with Pancreas Divisum\Low_Medial_InsertionofCommon_Bile_Duct_with_Pancreas_Divisum033.jpg,Low Medial Insertion of Common Bile Duct with Pancreas Divisum
