image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis001.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis002.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis003.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis004.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis005.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis006.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis007.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis008.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis009.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis010.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis011.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis012.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis013.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis014.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis015.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis016.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis017.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis018.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis019.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis020.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis021.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis022.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis023.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis024.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis025.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis026.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis027.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis028.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis029.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis030.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis031.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis032.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis033.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis034.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis035.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis036.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis037.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis038.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis039.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis040.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis041.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis042.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis043.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis044.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis045.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis046.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis047.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis048.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis049.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis050.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis051.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis052.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis053.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis054.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis055.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis056.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis057.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis058.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis059.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis060.jpg,Lumbosacral Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Lumbosacral Plexitis\Lumbosacral_Plexitis061.jpg,Lumbosacral Plexitis
