image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage001.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage002.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage003.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage004.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage005.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage006.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage007.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage008.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage009.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage010.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage011.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage012.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage013.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage014.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage015.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage016.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage017.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage018.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage019.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage020.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage021.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage022.jpg,Moyamoya Disease with Intraventricular Hemorrhage
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Moyamoya Disease with Intraventricular Hemorrhage\Moyamoya_Disease_with_Intraventricular_Hemorrhage023.jpg,Moyamoya Disease with Intraventricular Hemorrhage
