image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension001.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension002.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension003.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension004.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension005.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension006.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension007.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension008.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension009.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension010.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension011.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension012.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension013.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension014.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension015.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension016.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension017.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension018.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension019.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension020.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension021.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension022.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension023.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension024.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension\NeurofibromatosisType1_with_Optic_Glioma_and_Intracranial_Extension025.jpg,Neurofibromatosis Type 1 (NF1) with Optic Glioma and Intracranial Extension
