image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Osmotic Demyelination Syndrome\Osmotic_Demyelination_Syndrome001.jpg,Osmotic Demyelination Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Osmotic Demyelination Syndrome\Osmotic_Demyelination_Syndrome002.jpg,Osmotic Demyelination Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Osmotic Demyelination Syndrome\Osmotic_Demyelination_Syndrome003.jpg,Osmotic Demyelination Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Osmotic Demyelination Syndrome\Osmotic_Demyelination_Syndrome004.jpg,Osmotic Demyelination Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Osmotic Demyelination Syndrome\Osmotic_Demyelination_Syndrome005.jpg,Osmotic Demyelination Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Osmotic Demyelination Syndrome\Osmotic_Demyelination_Syndrome006.jpg,Osmotic Demyelination Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Osmotic Demyelination Syndrome\Osmotic_Demyelination_Syndrome007.jpg,Osmotic Demyelination Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Osmotic Demyelination Syndrome\Osmotic_Demyelination_Syndrome008.jpg,Osmotic Demyelination Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Osmotic Demyelination Syndrome\Osmotic_Demyelination_Syndrome009.jpg,Osmotic Demyelination Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Osmotic Demyelination Syndrome\Osmotic_Demyelination_Syndrome010.jpg,Osmotic Demyelination Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Osmotic Demyelination Syndrome\Osmotic_Demyelination_Syndrome011.jpg,Osmotic Demyelination Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Osmotic Demyelination Syndrome\Osmotic_Demyelination_Syndrome012.jpg,Osmotic Demyelination Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Osmotic Demyelination Syndrome\Osmotic_Demyelination_Syndrome013.jpg,Osmotic Demyelination Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Osmotic Demyelination Syndrome\Osmotic_Demyelination_Syndrome014.jpg,Osmotic Demyelination Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Osmotic Demyelination Syndrome\Osmotic_Demyelination_Syndrome015.jpg,Osmotic Demyelination Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Osmotic Demyelination Syndrome\Osmotic_Demyelination_Syndrome016.jpg,Osmotic Demyelination Syndrome
