image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia001.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia002.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia003.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia004.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia005.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia006.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia007.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia008.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia009.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia010.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia011.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia012.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia013.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia014.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia015.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia016.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia017.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia018.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia019.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia020.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia021.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia022.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia023.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia024.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia025.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia026.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia027.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia028.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia029.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia030.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia031.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia032.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia033.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia034.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia035.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia036.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia037.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia038.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia039.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia040.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia041.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia042.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia043.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia044.jpg,Pachygyria with Cerebellar Hypoplasia
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pachygyria with Cerebellar Hypoplasia\Pachygyria_with_Cerebellar_Hypoplasia045.jpg,Pachygyria with Cerebellar Hypoplasia
