image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Perisylvian Syndrome\Perisylvian_Syndrome001.jpg,Perisylvian Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Perisylvian Syndrome\Perisylvian_Syndrome002.jpg,Perisylvian Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Perisylvian Syndrome\Perisylvian_Syndrome003.jpg,Perisylvian Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Perisylvian Syndrome\Perisylvian_Syndrome004.jpg,Perisylvian Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Perisylvian Syndrome\Perisylvian_Syndrome005.jpg,Perisylvian Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Perisylvian Syndrome\Perisylvian_Syndrome006.jpg,Perisylvian Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Perisylvian Syndrome\Perisylvian_Syndrome007.jpg,Perisylvian Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Perisylvian Syndrome\Perisylvian_Syndrome008.jpg,Perisylvian Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Perisylvian Syndrome\Perisylvian_Syndrome009.jpg,Perisylvian Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Perisylvian Syndrome\Perisylvian_Syndrome010.jpg,Perisylvian Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Perisylvian Syndrome\Perisylvian_Syndrome011.jpg,Perisylvian Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Perisylvian Syndrome\Perisylvian_Syndrome012.jpg,Perisylvian Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Perisylvian Syndrome\Perisylvian_Syndrome013.jpg,Perisylvian Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Perisylvian Syndrome\Perisylvian_Syndrome014.jpg,Perisylvian Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Perisylvian Syndrome\Perisylvian_Syndrome015.jpg,Perisylvian Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Perisylvian Syndrome\Perisylvian_Syndrome016.jpg,Perisylvian Syndrome
