image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pigmented Villonodular Synovitis (PVNS) of Ankle\Pigmented_Villonodular_Synovitis(PVNS)of_Ankle001.jpg,Pigmented Villonodular Synovitis (PVNS) of Ankle
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pigmented Villonodular Synovitis (PVNS) of Ankle\Pigmented_Villonodular_Synovitis(PVNS)of_Ankle002.jpg,Pigmented Villonodular Synovitis (PVNS) of Ankle
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pigmented Villonodular Synovitis (PVNS) of Ankle\Pigmented_Villonodular_Synovitis(PVNS)of_Ankle003.jpg,Pigmented Villonodular Synovitis (PVNS) of Ankle
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pigmented Villonodular Synovitis (PVNS) of Ankle\Pigmented_Villonodular_Synovitis(PVNS)of_Ankle004.jpg,Pigmented Villonodular Synovitis (PVNS) of Ankle
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pigmented Villonodular Synovitis (PVNS) of Ankle\Pigmented_Villonodular_Synovitis(PVNS)of_Ankle005.jpg,Pigmented Villonodular Synovitis (PVNS) of Ankle
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pigmented Villonodular Synovitis (PVNS) of Ankle\Pigmented_Villonodular_Synovitis(PVNS)of_Ankle006.jpg,Pigmented Villonodular Synovitis (PVNS) of Ankle
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pigmented Villonodular Synovitis (PVNS) of Ankle\Pigmented_Villonodular_Synovitis(PVNS)of_Ankle007.jpg,Pigmented Villonodular Synovitis (PVNS) of Ankle
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pigmented Villonodular Synovitis (PVNS) of Ankle\Pigmented_Villonodular_Synovitis(PVNS)of_Ankle008.jpg,Pigmented Villonodular Synovitis (PVNS) of Ankle
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pigmented Villonodular Synovitis (PVNS) of Ankle\Pigmented_Villonodular_Synovitis(PVNS)of_Ankle009.jpg,Pigmented Villonodular Synovitis (PVNS) of Ankle
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pigmented Villonodular Synovitis (PVNS) of Ankle\Pigmented_Villonodular_Synovitis(PVNS)of_Ankle010.jpg,Pigmented Villonodular Synovitis (PVNS) of Ankle
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pigmented Villonodular Synovitis (PVNS) of Ankle\Pigmented_Villonodular_Synovitis(PVNS)of_Ankle011.jpg,Pigmented Villonodular Synovitis (PVNS) of Ankle
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Pigmented Villonodular Synovitis (PVNS) of Ankle\Pigmented_Villonodular_Synovitis(PVNS)of_Ankle012.jpg,Pigmented Villonodular Synovitis (PVNS) of Ankle
