image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Plexiform Neurofibroma with Sphenoid Wing Absence\Plexiform_Neurofibroma_with_Sphenoid_Wing_Absence001.jpg,Plexiform Neurofibroma with Sphenoid Wing Absence
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Plexiform Neurofibroma with Sphenoid Wing Absence\Plexiform_Neurofibroma_with_Sphenoid_Wing_Absence002.jpg,Plexiform Neurofibroma with Sphenoid Wing Absence
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Plexiform Neurofibroma with Sphenoid Wing Absence\Plexiform_Neurofibroma_with_Sphenoid_Wing_Absence003.jpg,Plexiform Neurofibroma with Sphenoid Wing Absence
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Plexiform Neurofibroma with Sphenoid Wing Absence\Plexiform_Neurofibroma_with_Sphenoid_Wing_Absence004.jpg,Plexiform Neurofibroma with Sphenoid Wing Absence
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Plexiform Neurofibroma with Sphenoid Wing Absence\Plexiform_Neurofibroma_with_Sphenoid_Wing_Absence005.jpg,Plexiform Neurofibroma with Sphenoid Wing Absence
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Plexiform Neurofibroma with Sphenoid Wing Absence\Plexiform_Neurofibroma_with_Sphenoid_Wing_Absence006.jpg,Plexiform Neurofibroma with Sphenoid Wing Absence
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Plexiform Neurofibroma with Sphenoid Wing Absence\Plexiform_Neurofibroma_with_Sphenoid_Wing_Absence007.jpg,Plexiform Neurofibroma with Sphenoid Wing Absence
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Plexiform Neurofibroma with Sphenoid Wing Absence\Plexiform_Neurofibroma_with_Sphenoid_Wing_Absence008.jpg,Plexiform Neurofibroma with Sphenoid Wing Absence
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Plexiform Neurofibroma with Sphenoid Wing Absence\Plexiform_Neurofibroma_with_Sphenoid_Wing_Absence009.jpg,Plexiform Neurofibroma with Sphenoid Wing Absence
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Plexiform Neurofibroma with Sphenoid Wing Absence\Plexiform_Neurofibroma_with_Sphenoid_Wing_Absence010.jpg,Plexiform Neurofibroma with Sphenoid Wing Absence
