image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis001.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis002.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis003.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis004.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis005.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis006.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis007.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis008.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis009.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis010.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis011.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis012.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis013.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis014.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis015.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis016.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis017.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis018.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis019.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis020.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis021.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis022.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis023.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis024.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis025.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis026.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis027.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis028.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis029.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis030.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis031.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis032.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis033.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis034.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis035.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis036.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis037.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis038.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis039.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis040.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis041.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis042.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis043.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis044.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis045.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis046.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis047.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis048.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis049.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis050.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis051.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis052.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis053.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis054.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis055.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis056.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis057.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis058.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis059.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis060.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis061.jpg,Rasmussens Encephalitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Rasmussens Encephalitis\Rasmussens_Encephalitis062.jpg,Rasmussens Encephalitis
