image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Retinoblastoma with Intracranial Spread Along Cranial Nerve\Retinoblastoma_with_Intracranial_Spread_Along_Cranial_Nerve001.jpg,Retinoblastoma with Intracranial Spread Along Cranial Nerve
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Retinoblastoma with Intracranial Spread Along Cranial Nerve\Retinoblastoma_with_Intracranial_Spread_Along_Cranial_Nerve002.jpg,Retinoblastoma with Intracranial Spread Along Cranial Nerve
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Retinoblastoma with Intracranial Spread Along Cranial Nerve\Retinoblastoma_with_Intracranial_Spread_Along_Cranial_Nerve003.jpg,Retinoblastoma with Intracranial Spread Along Cranial Nerve
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Retinoblastoma with Intracranial Spread Along Cranial Nerve\Retinoblastoma_with_Intracranial_Spread_Along_Cranial_Nerve004.jpg,Retinoblastoma with Intracranial Spread Along Cranial Nerve
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Retinoblastoma with Intracranial Spread Along Cranial Nerve\Retinoblastoma_with_Intracranial_Spread_Along_Cranial_Nerve005.jpg,Retinoblastoma with Intracranial Spread Along Cranial Nerve
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Retinoblastoma with Intracranial Spread Along Cranial Nerve\Retinoblastoma_with_Intracranial_Spread_Along_Cranial_Nerve006.jpg,Retinoblastoma with Intracranial Spread Along Cranial Nerve
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Retinoblastoma with Intracranial Spread Along Cranial Nerve\Retinoblastoma_with_Intracranial_Spread_Along_Cranial_Nerve007.jpg,Retinoblastoma with Intracranial Spread Along Cranial Nerve
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Retinoblastoma with Intracranial Spread Along Cranial Nerve\Retinoblastoma_with_Intracranial_Spread_Along_Cranial_Nerve008.jpg,Retinoblastoma with Intracranial Spread Along Cranial Nerve
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Retinoblastoma with Intracranial Spread Along Cranial Nerve\Retinoblastoma_with_Intracranial_Spread_Along_Cranial_Nerve009.jpg,Retinoblastoma with Intracranial Spread Along Cranial Nerve
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Retinoblastoma with Intracranial Spread Along Cranial Nerve\Retinoblastoma_with_Intracranial_Spread_Along_Cranial_Nerve010.jpg,Retinoblastoma with Intracranial Spread Along Cranial Nerve
