image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis001.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis002.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis003.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis004.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis005.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis006.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis007.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis008.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis009.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis010.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis011.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis012.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis013.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis014.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis015.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis016.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis017.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis018.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis019.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis020.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis021.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis022.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis023.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis024.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis025.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis026.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis027.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis028.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis029.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis030.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis031.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis032.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis033.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis034.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis035.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis036.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis037.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis038.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis039.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis040.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis041.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis042.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis043.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis044.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis045.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis046.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis047.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis048.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis049.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis050.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis051.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis052.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis053.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis054.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis055.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis056.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis057.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis058.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis059.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis060.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis061.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis062.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis063.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis064.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis065.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis066.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis067.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis068.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis069.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis070.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis071.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis072.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis073.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis074.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis075.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis076.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis077.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis078.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis079.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis080.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis081.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis082.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis083.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis084.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis085.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis086.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis087.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis088.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis089.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis090.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis091.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis092.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis093.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis094.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis095.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis096.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis097.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis098.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis099.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis100.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis101.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis102.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis103.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis104.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis105.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis106.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis107.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis108.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis109.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis110.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis111.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis112.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis113.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis114.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis115.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis116.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis117.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis118.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis119.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis120.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis121.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis122.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis123.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis124.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis125.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis126.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis127.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis128.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis129.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis130.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis131.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis132.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis133.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis134.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis135.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis136.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis137.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis138.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis139.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis140.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis141.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis142.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis143.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis144.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis145.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis146.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis147.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis148.jpg,Right Brachial Plexitis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Right Brachial Plexitis\Right_Brachial_Plexitis149.jpg,Right Brachial Plexitis
