image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome001.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome002.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome003.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome004.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome005.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome006.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome007.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome008.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome009.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome010.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome011.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome012.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome013.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome014.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome015.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome016.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome017.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome018.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome019.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome020.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome021.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome022.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome023.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome024.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome025.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome026.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome027.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome028.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome029.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome030.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome031.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome032.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome033.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome034.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome035.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome036.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome037.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome038.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome039.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome040.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome041.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome042.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome043.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome044.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome045.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome046.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome047.jpg,Sjögrens Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Sjögrens Syndrome\Sjögrens_Syndrome048.jpg,Sjögrens Syndrome
