image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis001.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis002.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis003.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis004.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis005.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis006.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis007.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis008.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis009.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis010.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis011.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis012.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis013.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis014.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis015.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis016.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis017.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis018.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis019.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis020.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis021.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis022.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis023.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis024.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis025.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis026.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis027.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis028.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis029.jpg,Tuberous Sclerosis
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Tuberous Sclerosis\Tuberous_Sclerosis030.jpg,Tuberous Sclerosis
