image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Two-Week Follow-Up with Spectroscopy\Two-Week_Follow-Up_with_Spectroscopy001.jpg,Two-Week Follow-Up with Spectroscopy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Two-Week Follow-Up with Spectroscopy\Two-Week_Follow-Up_with_Spectroscopy002.jpg,Two-Week Follow-Up with Spectroscopy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Two-Week Follow-Up with Spectroscopy\Two-Week_Follow-Up_with_Spectroscopy003.jpg,Two-Week Follow-Up with Spectroscopy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Two-Week Follow-Up with Spectroscopy\Two-Week_Follow-Up_with_Spectroscopy004.jpg,Two-Week Follow-Up with Spectroscopy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Two-Week Follow-Up with Spectroscopy\Two-Week_Follow-Up_with_Spectroscopy005.jpg,Two-Week Follow-Up with Spectroscopy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Two-Week Follow-Up with Spectroscopy\Two-Week_Follow-Up_with_Spectroscopy006.jpg,Two-Week Follow-Up with Spectroscopy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Two-Week Follow-Up with Spectroscopy\Two-Week_Follow-Up_with_Spectroscopy007.jpg,Two-Week Follow-Up with Spectroscopy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Two-Week Follow-Up with Spectroscopy\Two-Week_Follow-Up_with_Spectroscopy008.jpg,Two-Week Follow-Up with Spectroscopy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Two-Week Follow-Up with Spectroscopy\Two-Week_Follow-Up_with_Spectroscopy009.jpg,Two-Week Follow-Up with Spectroscopy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Two-Week Follow-Up with Spectroscopy\Two-Week_Follow-Up_with_Spectroscopy010.jpg,Two-Week Follow-Up with Spectroscopy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Two-Week Follow-Up with Spectroscopy\Two-Week_Follow-Up_with_Spectroscopy011.jpg,Two-Week Follow-Up with Spectroscopy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Two-Week Follow-Up with Spectroscopy\Two-Week_Follow-Up_with_Spectroscopy012.jpg,Two-Week Follow-Up with Spectroscopy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Two-Week Follow-Up with Spectroscopy\Two-Week_Follow-Up_with_Spectroscopy013.jpg,Two-Week Follow-Up with Spectroscopy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Two-Week Follow-Up with Spectroscopy\Two-Week_Follow-Up_with_Spectroscopy014.jpg,Two-Week Follow-Up with Spectroscopy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Two-Week Follow-Up with Spectroscopy\Two-Week_Follow-Up_with_Spectroscopy015.jpg,Two-Week Follow-Up with Spectroscopy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Two-Week Follow-Up with Spectroscopy\Two-Week_Follow-Up_with_Spectroscopy016.jpg,Two-Week Follow-Up with Spectroscopy
