image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Typical Adrenoleukodystrophy\Typical_Adrenoleukodystrophy001.jpg,Typical Adrenoleukodystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Typical Adrenoleukodystrophy\Typical_Adrenoleukodystrophy002.jpg,Typical Adrenoleukodystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Typical Adrenoleukodystrophy\Typical_Adrenoleukodystrophy003.jpg,Typical Adrenoleukodystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Typical Adrenoleukodystrophy\Typical_Adrenoleukodystrophy004.jpg,Typical Adrenoleukodystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Typical Adrenoleukodystrophy\Typical_Adrenoleukodystrophy005.jpg,Typical Adrenoleukodystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Typical Adrenoleukodystrophy\Typical_Adrenoleukodystrophy006.jpg,Typical Adrenoleukodystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Typical Adrenoleukodystrophy\Typical_Adrenoleukodystrophy007.jpg,Typical Adrenoleukodystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Typical Adrenoleukodystrophy\Typical_Adrenoleukodystrophy008.jpg,Typical Adrenoleukodystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Typical Adrenoleukodystrophy\Typical_Adrenoleukodystrophy009.jpg,Typical Adrenoleukodystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Typical Adrenoleukodystrophy\Typical_Adrenoleukodystrophy010.jpg,Typical Adrenoleukodystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Typical Adrenoleukodystrophy\Typical_Adrenoleukodystrophy011.jpg,Typical Adrenoleukodystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Typical Adrenoleukodystrophy\Typical_Adrenoleukodystrophy012.jpg,Typical Adrenoleukodystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Typical Adrenoleukodystrophy\Typical_Adrenoleukodystrophy013.jpg,Typical Adrenoleukodystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Typical Adrenoleukodystrophy\Typical_Adrenoleukodystrophy014.jpg,Typical Adrenoleukodystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Typical Adrenoleukodystrophy\Typical_Adrenoleukodystrophy015.jpg,Typical Adrenoleukodystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Typical Adrenoleukodystrophy\Typical_Adrenoleukodystrophy016.jpg,Typical Adrenoleukodystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Typical Adrenoleukodystrophy\Typical_Adrenoleukodystrophy017.jpg,Typical Adrenoleukodystrophy
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Typical Adrenoleukodystrophy\Typical_Adrenoleukodystrophy018.jpg,Typical Adrenoleukodystrophy
