image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome001.jpg,Walker-Warburg Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome002.jpg,Walker-Warburg Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome003.jpg,Walker-Warburg Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome004.jpg,Walker-Warburg Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome005.jpg,Walker-Warburg Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome006.jpg,Walker-Warburg Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome007.jpg,Walker-Warburg Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome008.jpg,Walker-Warburg Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome009.jpg,Walker-Warburg Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome010.jpg,Walker-Warburg Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome011.jpg,Walker-Warburg Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome012.jpg,Walker-Warburg Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome013.jpg,Walker-Warburg Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome014.jpg,Walker-Warburg Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome015.jpg,Walker-Warburg Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome016.jpg,Walker-Warburg Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome017.jpg,Walker-Warburg Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome018.jpg,Walker-Warburg Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome019.jpg,Walker-Warburg Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome020.jpg,Walker-Warburg Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome021.jpg,Walker-Warburg Syndrome
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\MRI_dataset\Walker-Warburg Syndrome\Walker-Warburg_Syndrome022.jpg,Walker-Warburg Syndrome
