image_path,label
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_10.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_100.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1000.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1001.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1002.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1003.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1004.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1005.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1006.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1007.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1008.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1009.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_101.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1010.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1011.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1012.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1013.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1014.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1015.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1016.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1017.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1018.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1019.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_102.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1020.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1021.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1022.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1023.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1024.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1025.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1026.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1027.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1028.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1029.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_103.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1030.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1031.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1032.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1033.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1034.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1035.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1036.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1037.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1038.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1039.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_104.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1040.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1041.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1042.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1043.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1044.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1045.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1046.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1047.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1048.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1049.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_105.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1050.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1051.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1052.jpg,Gerd
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Gerd\Gerd_1053.jpg,Gerd
