image_path,label
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_10.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_100.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1000.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1001.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1002.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1003.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1004.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1005.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1006.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1007.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1008.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1009.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_101.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1010.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1011.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1012.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1013.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1014.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1015.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1016.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1017.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1018.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1019.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_102.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1020.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1021.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1022.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1023.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1024.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1025.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1026.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1027.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1028.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1029.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_103.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1030.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1031.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1032.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1033.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1034.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1035.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1036.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1037.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1038.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1039.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_104.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1040.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1041.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1042.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1043.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1044.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1045.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1046.jpg,Polyp
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\Polyp\Polyp_1047.jpg,Polyp
