image_path,label
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma001.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma002.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma003.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma004.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma005.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma006.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma007.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma008.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma009.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma010.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma011.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma012.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma013.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma014.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma015.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma016.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma017.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma018.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma019.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma020.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma021.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma022.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma023.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma024.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma025.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma026.jpg,SNN
C:\python\999_cs\Quantum_Inpired_PSO_Classifcation\data\SNN\Sural_Nerve_Neurofibroma027.jpg,SNN
