image_path,label
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\100_2HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\100_2HC_Annotation.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\101_HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\101_HC_Annotation.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\102_2HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\102_2HC_Annotation.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\103_HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\103_HC_Annotation.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\104_HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\104_HC_Annotation.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\105_HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\105_HC_Annotation.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\106_HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\106_HC_Annotation.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\107_HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\107_HC_Annotation.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\108_2HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\108_2HC_Annotation.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\109_HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\109_HC_Annotation.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\10_2HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\10_2HC_Annotation.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\110_HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\110_HC_Annotation.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\111_HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\111_HC_Annotation.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\112_HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\112_HC_Annotation.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\113_HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\113_HC_Annotation.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\114_2HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\114_2HC_Annotation.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\115_HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\115_HC_Annotation.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\116_HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\116_HC_Annotation.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\117_HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\117_HC_Annotation.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\118_HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\118_HC_Annotation.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\119_HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\119_HC_Annotation.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\11_2HC.png,malignant
C:\Users\HishamMo\Desktop\999_cs\Quantum_Inpired_PSO_Classifcation\featus\malignant\11_2HC_Annotation.png,malignant
